"24.09.2023 13:40:44 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"24.09.2023 13:40:51 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"24.09.2023 13:40:59 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"24.09.2023 13:40:59 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"24.09.2023 13:45:46 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"24.09.2023 13:56:04 | Sub OnRecieve | BeginReceive | Collection was modified; enumeration operation may not execute."
"24.09.2023 13:56:46 | Sub OnRecieve | BeginReceive | Collection was modified; enumeration operation may not execute."
"24.09.2023 14:01:52 | Sub OnRecieve | BeginReceive | Collection was modified; enumeration operation may not execute."
"24.09.2023 14:03:49 | Sub OnRecieve | BeginReceive | Collection was modified; enumeration operation may not execute."
"24.09.2023 14:17:11 | Sub OnRecieve | BeginReceive | Collection was modified; enumeration operation may not execute."
"24.09.2023 14:19:15 | Sub OnRecieve | BeginReceive | Collection was modified; enumeration operation may not execute."
"24.09.2023 14:19:44 | Sub OnRecieve | BeginReceive | Collection was modified; enumeration operation may not execute."
"24.09.2023 14:21:20 | Sub OnRecieve | BeginReceive | Collection was modified; enumeration operation may not execute."
"24.09.2023 14:32:12 | Sub OnRecieve | BeginReceive | Collection was modified; enumeration operation may not execute."
"24.09.2023 15:35:12 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 15:35:23 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 15:37:52 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 15:38:14 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 15:47:11 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 15:47:18 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 16:01:19 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 16:01:44 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 16:01:46 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 16:01:48 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 16:02:11 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 16:02:30 | Sub OnRecieve | BeginReceive | String must be exactly one character long."
"24.09.2023 16:08:25 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:45:53 | Sub OnRecieve | BeginReceive | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:46:02 | Sub OnRecieve | BeginReceive | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:46:53 | Sub OnRecieve | BeginReceive | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:52:48 | Sub OnRecieve | BeginReceive | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:00 | Sub OnRecieve | BeginReceive | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:30 | Sub OnRecieve | BeginReceive | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:36 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:36 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:36 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
"12.04.2024 11:53:37 | Clients_Item | Return DirectCast(List.Item(index), Client) | Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')"
